COMMUNE_NOM,SEXE,YEAR,POP65PLUS,PERC65PLUS
Beaufort,F,2020,183.0,0.1978592280246513
Beaufort,F,2021,186.0,0.1963558051643688
Beaufort,F,2022,203.0,0.2079981966658811
Beaufort,F,2023,206.0,0.2052549246236162
Beaufort,F,2024,210.0,0.2022342064714946
Beaufort,F,2025,219.0,0.2060129440096327
Beaufort,M,2020,151.0,0.163260893069521
Beaufort,M,2021,160.0,0.1689082194962312
Beaufort,M,2022,170.0,0.1741856819369447
Beaufort,M,2023,168.0,0.1673923657124637
Beaufort,M,2024,177.0,0.1704545454545454
Beaufort,M,2025,182.0,0.171207104154124
Bech,F,2020,99.0,0.1070385987674343
Bech,F,2021,103.0,0.1087346663006988
Bech,F,2022,111.0,0.1137330040882404
Bech,F,2023,117.0,0.1165768261211801
Bech,F,2024,121.0,0.1165254237288135
Bech,F,2025,123.0,0.1157059000602047
Bech,M,2020,100.0,0.1081197967347821
Bech,M,2021,102.0,0.1076789899288474
Bech,M,2022,101.0,0.1034867875037142
Bech,M,2023,101.0,0.1006346960533264
Bech,M,2024,112.0,0.1078582434514637
Bech,M,2025,119.0,0.1119431065623118
Beckerich,F,2020,189.0,0.2043464158287382
Beckerich,F,2021,194.0,0.2048012161391803
Beckerich,F,2022,210.0,0.2151705482750494
Beckerich,F,2023,218.0,0.2172115221745065
Beckerich,F,2024,236.0,0.2272727272727272
Beckerich,F,2025,246.0,0.2314118001204094
Beckerich,M,2020,169.0,0.1827224564817818
Beckerich,M,2021,180.0,0.1900217469332601
Beckerich,M,2022,183.0,0.1875057634968288
Beckerich,M,2023,199.0,0.1982802427189302
Beckerich,M,2024,218.0,0.2099383667180277
Beckerich,M,2025,238.0,0.2238862131246237
Berdorf,F,2020,153.0,0.1654232890042166
Berdorf,F,2021,166.0,0.1752422777273399
Berdorf,F,2022,171.0,0.1752103035953974
Berdorf,F,2023,177.0,0.1763598138756314
Berdorf,F,2024,190.0,0.1829738058551618
Berdorf,F,2025,191.0,0.1796733895243829
Berdorf,M,2020,135.0,0.1459617255919559
Berdorf,M,2021,129.0,0.1361822519688364
Berdorf,M,2022,129.0,0.1321761939403875
Berdorf,M,2023,133.0,0.1325189561890338
Berdorf,M,2024,147.0,0.1415639445300462
Berdorf,M,2025,153.0,0.1439268512944009
Bertrange,F,2020,783.0,0.8465780084333442
Bertrange,F,2021,811.0,0.8561535375715221
Bertrange,F,2022,830.0,0.8504359765156715
Bertrange,F,2023,824.0,0.8210196984944651
Bertrange,F,2024,867.0,0.8349383667180278
Bertrange,F,2025,877.0,0.8249924744130043
Bertrange,M,2020,651.0,0.7038598767434318
