year,total,hommes,femmes
1991,62.1,61.6,64.0
1992,62.2,61.7,63.9
1993,60.8,60.5,63.6
1994,61.8,61.5,63.7
1995,62.0,61.6,64.0
1996,61.8,61.3,63.7
1997,61.8,61.4,63.7
1998,61.9,61.5,63.7
1999,62.3,61.9,63.9
2000,62.4,62.0,63.6
2001,62.5,62.2,63.5
2002,62.2,61.8,63.4
2003,62.0,61.6,63.4
2004,61.7,61.3,63.1
2005,61.6,61.2,63.0
2006,61.5,61.0,62.7
2007,61.5,61.1,62.4
2008,61.4,61.1,62.2
2009,61.4,61.1,62.1
2010,61.3,60.9,62.1
2011,61.4,61.1,62.1
2012,61.7,61.4,62.2
2013,61.6,61.3,62.3
2014,61.6,61.3,62.1
2015,61.6,61.3,62.2
2016,61.6,61.3,62.0
2017,61.8,61.6,62.1
2018,61.7,61.4,62.1
2019,61.7,61.5,62.1
2020,61.7,61.5,62.0
2021,61.6,61.4,61.9
2022,61.6,61.4,61.8
2023,61.4,61.2,61.6
